appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2779488_69636,2779488,69636,1842,1268,2017-03-08,Mathias Gehrt,DKP,0,0,0,0,90
3651892_57995,3651892,57995,79,79,2021-10-27,Daniel Didavi,DFB,0,0,0,0,73
3432697_249747,3432697,249747,6131,3999,2020-09-16,Aleksandr Pavlovets,CLQ,0,0,0,0,28
2477956_59896,2477956,59896,10690,3592,2014-08-03,Dmytro Khomchenovskyi,UKR1,0,0,0,0,90
3058448_36182,3058448,36182,86,82,2018-09-22,Max Kruse,L1,0,0,1,1,87
2883866_47184,2883866,47184,1506,4603,2017-09-16,Gabriel Torje,TR1,0,0,0,1,71
3260171_543822,3260171,543822,45057,1053,2019-09-25,Malthe Höjholt,DKP,1,0,0,0,30
2581715_82105,2581715,82105,33,31,2015-11-08,Joel Matip,L1,0,0,0,0,90
2711549_255473,2711549,255473,1109,416,2016-07-21,Samuel Gustafson,ELQ,0,0,0,0,90
3076541_245078,3076541,245078,159,416,2018-08-01,Nemanja Radonjić,CLQ,0,0,1,0,90
3969490_106721,3969490,106721,2553,2553,2023-01-21,Ash Taylor,SFA,0,0,0,0,72
3407696_397030,3407696,397030,45913,964,2020-08-05,Stanislav Krapukhin,RUP,0,0,0,0,65
3963051_974982,3963051,974982,7056,336,2022-12-16,Ousmane Diomande,POCP,0,0,0,0,90
2518664_51984,2518664,51984,3060,3999,2015-04-06,Elini Dimoutsos,GR1,1,0,0,0,89
3607522_149498,3607522,149498,1049,1049,2021-10-27,Gabriel Paulista,ES1,0,0,1,0,45
3614764_642689,3614764,642689,380,380,2022-02-07,Mikael,IT1,0,0,0,0,14
2518682_36845,2518682,36845,5220,3999,2015-04-27,Bojan Saranov,GR1,0,0,0,0,90
2716685_91991,2716685,91991,6992,18105,2016-08-27,Sergiy Lyulka,UKR1,0,0,0,0,90
